Precinct,Krasner,Khan,Untermeyer,El Shabazz,Negrin,Deni,O'Neill,Write In,DivNo
01-01,0.553030303,0.181818182,0.015151515,0.007575758,0.113636364,0,0.128787879,0,0101
01-02,0.616766467,0.179640719,0.047904192,0,0.071856287,0,0.083832335,0,0102
01-03,0.594871795,0.107692308,0.015384615,0,0.133333333,0.015384615,0.133333333,0,0103
01-04,0.568181818,0.174242424,0.037878788,0.03030303,0.113636364,0.03030303,0.045454545,0,0104
01-05,0.568965517,0.172413793,0.017241379,0.017241379,0.137931034,0.017241379,0.068965517,0,0105
01-06,0.568181818,0.181818182,0.056818182,0.011363636,0.102272727,0,0.079545455,0,0106
01-07,0.565217391,0.115942029,0.115942029,0.101449275,0.057971014,0,0.043478261,0,0107
01-08,0.623931624,0.170940171,0.05982906,0,0.068376068,0.017094017,0.05982906,0,0108
01-09,0.601449275,0.115942029,0.043478261,0,0.072463768,0.007246377,0.15942029,0,0109
01-10,0.741935484,0.129032258,0.038709677,0,0.04516129,0.006451613,0.038709677,0,0110
01-11,0.557017544,0.223684211,0.00877193,0,0.127192982,0.013157895,0.070175439,0,0111
01-12,0.686746988,0.072289157,0.060240964,0.048192771,0.096385542,0,0.036144578,0,0112
01-13,0.612903226,0.169354839,0.040322581,0.016129032,0.080645161,0.016129032,0.064516129,0,0113
01-14,0.666666667,0.108333333,0.058333333,0.033333333,0.066666667,0.025,0.041666667,0,0114
01-15,0.576923077,0.134615385,0.057692308,0.024038462,0.139423077,0.024038462,0.043269231,0,0115
01-16,0.558823529,0.176470588,0.049019608,0,0.049019608,0.009803922,0.156862745,0,0116
01-17,0.420168067,0.142857143,0.092436975,0.033613445,0.151260504,0.025210084,0.134453782,0,0117
01-18,0.246835443,0.120253165,0.025316456,0.012658228,0.164556962,0,0.430379747,0,0118
01-19,0.265060241,0.186746988,0.06626506,0,0.13253012,0.006024096,0.343373494,0,0119
01-20,0.481132075,0.188679245,0.028301887,0.014150943,0.155660377,0.018867925,0.113207547,0,0120
01-21,0.362204724,0.157480315,0.078740157,0.007874016,0.118110236,0,0.275590551,0,0121
02-01,0.441176471,0.264705882,0.044117647,0.014705882,0.166666667,0,0.068627451,0,0201
02-02,0.573770492,0.147540984,0.057377049,0.073770492,0.098360656,0.024590164,0.024590164,0,0202
02-03,0.603174603,0.222222222,0.03968254,0.007936508,0.063492063,0.015873016,0.047619048,0,0203
02-04,0.607594937,0.189873418,0.025316456,0,0.120253165,0.018987342,0.037974684,0,0204
02-05,0.64556962,0.126582278,0.044303797,0.018987342,0.14556962,0.006329114,0.012658228,0,0205
02-06,0.615384615,0.158974359,0.030769231,0.015384615,0.071794872,0.020512821,0.087179487,0,0206
02-07,0.57635468,0.197044335,0.039408867,0.034482759,0.103448276,0.004926108,0.044334975,0,0207
02-08,0.534883721,0.240310078,0.031007752,0.046511628,0.100775194,0.023255814,0.023255814,0,0208
02-09,0.5,0.201298701,0.077922078,0.097402597,0.084415584,0.019480519,0.019480519,0,0209
02-10,0.617142857,0.217142857,0.017142857,0.011428571,0.125714286,0,0.011428571,0,0210
02-11,0.576923077,0.208791209,0.038461538,0.021978022,0.126373626,0.005494505,0.021978022,0,0211
02-12,0.632768362,0.192090395,0.028248588,0.028248588,0.084745763,0.016949153,0.016949153,0,0212
02-13,0.555555556,0.166666667,0.055555556,0.055555556,0.111111111,0,0.055555556,0,0213
02-14,0.460526316,0.25,0.098684211,0.046052632,0.098684211,0.013157895,0.032894737,0,0214
02-15,0.382352941,0.31372549,0.049019608,0.024509804,0.196078431,0.004901961,0.029411765,0,0215
02-16,0.570977918,0.29022082,0.025236593,0.015772871,0.069400631,0.009463722,0.018927445,0,0216
02-17,0.678362573,0.16374269,0.023391813,0.005847953,0.105263158,0.005847953,0.01754386,0,0217
02-18,0.666666667,0.193939394,0.018181818,0.006060606,0.072727273,0.012121212,0.024242424,0.006060606,0218
02-19,0.702857143,0.125714286,0.011428571,0.051428571,0.074285714,0.028571429,0.005714286,0,0219
02-20,0.421686747,0.397590361,0.024096386,0.036144578,0.108433735,0,0.012048193,0,0220
02-21,0.45,0.325,0.025,0.075,0.125,0,0,0,0221
02-22,0.497797357,0.348017621,0.013215859,0.008810573,0.110132159,0.008810573,0.013215859,0,0222
02-23,0.491304348,0.330434783,0.026086957,0.013043478,0.07826087,0.026086957,0.034782609,0,0223
02-24,0.582938389,0.232227488,0.042654028,0.014218009,0.099526066,0.009478673,0.018957346,0,0224
02-25,0.594059406,0.232673267,0.04950495,0.00990099,0.099009901,0.004950495,0.00990099,0,0225
02-26,0.490636704,0.29588015,0.071161049,0,0.112359551,0.014981273,0.014981273,0,0226
02-27,0.391472868,0.372093023,0.046511628,0.015503876,0.147286822,0.003875969,0.023255814,0,0227
03-01,0.268656716,0.253731343,0.119402985,0.208955224,0.149253731,0,0,0,0301
03-02,0.271604938,0.135802469,0.160493827,0.271604938,0.12345679,0.012345679,0.024691358,0,0302
03-03,0.307017544,0.140350877,0.228070175,0.201754386,0.105263158,0,0.01754386,0,0303
03-04,0.203703704,0.12037037,0.398148148,0.157407407,0.111111111,0.009259259,0,0,0304
03-05,0.223684211,0.131578947,0.263157895,0.197368421,0.157894737,0,0.026315789,0,0305
03-06,0.284210526,0.221052632,0.136842105,0.178947368,0.094736842,0.021052632,0.063157895,0,0306
03-07,0.206521739,0.119565217,0.326086957,0.206521739,0.097826087,0.010869565,0.032608696,0,0307
03-08,0.261261261,0.09009009,0.27027027,0.234234234,0.126126126,0.009009009,0.009009009,0,0308
03-09,0.253846154,0.130769231,0.269230769,0.176923077,0.146153846,0.007692308,0.015384615,0,0309
03-10,0.333333333,0.133333333,0.219047619,0.247619048,0.047619048,0.00952381,0.00952381,0,0310
03-11,0.381578947,0.151315789,0.177631579,0.144736842,0.105263158,0.013157895,0.026315789,0,0311
03-12,0.292929293,0.141414141,0.202020202,0.262626263,0.04040404,0.03030303,0.03030303,0,0312
03-13,0.202898551,0.101449275,0.333333333,0.260869565,0.043478261,0.043478261,0.014492754,0,0313
03-14,0.376,0.144,0.2,0.2,0.056,0.016,0.008,0,0314
03-15,0.307086614,0.181102362,0.196850394,0.173228346,0.102362205,0.039370079,0,0,0315
03-16,0.3125,0.109375,0.234375,0.2265625,0.109375,0,0.0078125,0,0316
03-17,0.381944444,0.111111111,0.256944444,0.138888889,0.083333333,0,0.027777778,0,0317
