Precinct,Krasner,Khan,Untermeyer,El Shabazz,Negrin,Deni,O'Neill,Write In,Total
01-01,73,24,2,1,15,0,17,0,132
01-02,103,30,8,0,12,0,14,0,167
01-03,116,21,3,0,26,3,26,0,195
01-04,75,23,5,4,15,4,6,0,132
01-05,33,10,1,1,8,1,4,0,58
01-06,50,16,5,1,9,0,7,0,88
01-07,39,8,8,7,4,0,3,0,69
01-08,73,20,7,0,8,2,7,0,117
01-09,83,16,6,0,10,1,22,0,138
01-10,115,20,6,0,7,1,6,0,155
01-11,127,51,2,0,29,3,16,0,228
01-12,57,6,5,4,8,0,3,0,83
01-13,76,21,5,2,10,2,8,0,124
01-14,80,13,7,4,8,3,5,0,120
01-15,120,28,12,5,29,5,9,0,208
01-16,57,18,5,0,5,1,16,0,102
01-17,50,17,11,4,18,3,16,0,119
01-18,39,19,4,2,26,0,68,0,158
01-19,44,31,11,0,22,1,57,0,166
01-20,102,40,6,3,33,4,24,0,212
01-21,46,20,10,1,15,0,35,0,127
02-01,90,54,9,3,34,0,14,0,204
02-02,70,18,7,9,12,3,3,0,122
02-03,76,28,5,1,8,2,6,0,126
02-04,96,30,4,0,19,3,6,0,158
02-05,102,20,7,3,23,1,2,0,158
02-06,120,31,6,3,14,4,17,0,195
02-07,117,40,8,7,21,1,9,0,203
02-08,69,31,4,6,13,3,3,0,129
02-09,77,31,12,15,13,3,3,0,154
02-10,108,38,3,2,22,0,2,0,175
02-11,105,38,7,4,23,1,4,0,182
02-12,112,34,5,5,15,3,3,0,177
02-13,10,3,1,1,2,0,1,0,18
02-14,70,38,15,7,15,2,5,0,152
02-15,78,64,10,5,40,1,6,0,204
02-16,181,92,8,5,22,3,6,0,317
02-17,116,28,4,1,18,1,3,0,171
02-18,110,32,3,1,12,2,4,1,165
02-19,123,22,2,9,13,5,1,0,175
02-20,35,33,2,3,9,0,1,0,83
02-21,54,39,3,9,15,0,0,0,120
02-22,113,79,3,2,25,2,3,0,227
02-23,113,76,6,3,18,6,8,0,230
02-24,123,49,9,3,21,2,4,0,211
02-25,120,47,10,2,20,1,2,0,202
02-26,131,79,19,0,30,4,4,0,267
02-27,101,96,12,4,38,1,6,0,258
03-01,18,17,8,14,10,0,0,0,67
03-02,22,11,13,22,10,1,2,0,81
03-03,35,16,26,23,12,0,2,0,114
03-04,22,13,43,17,12,1,0,0,108
03-05,17,10,20,15,12,0,2,0,76
03-06,27,21,13,17,9,2,6,0,95
03-07,19,11,30,19,9,1,3,0,92
03-08,29,10,30,26,14,1,1,0,111
03-09,33,17,35,23,19,1,2,0,130
03-10,35,14,23,26,5,1,1,0,105
03-11,58,23,27,22,16,2,4,0,152
03-12,29,14,20,26,4,3,3,0,99
03-13,14,7,23,18,3,3,1,0,69
03-14,47,18,25,25,7,2,1,0,125
03-15,39,23,25,22,13,5,0,0,127
03-16,40,14,30,29,14,0,1,0,128
03-17,55,16,37,20,12,0,4,0,144
03-18,28,17,36,27,7,0,4,0,119
03-19,52,16,7,52,2,2,7,0,138
03-20,39,10,9,26,9,0,0,0,93
03-21,13,9,7,8,4,1,2,0,44
03-22,35,11,13,12,7,0,0,0,78
04-01,28,14,10,27,10,8,3,0,100
04-02,22,27,9,40,13,1,1,0,113
04-03,24,13,16,50,11,1,3,0,118
04-04,21,6,5,19,6,0,0,0,57
04-05,51,7,13,30,6,1,1,0,109
04-06,28,10,4,27,7,1,3,0,80
04-07,34,22,16,29,14,1,2,0,118
04-08,26,34,11,31,9,2,1,0,114
04-09,33,18,17,34,14,1,1,0,118
04-10,32,20,8,26,14,1,1,0,102
04-11,33,11,11,33,7,4,5,0,104
04-12,21,10,10,29,5,1,0,0,76
04-13,36,23,14,22,21,1,2,0,119
04-14,25,7,10,29,4,2,1,0,78
04-15,25,9,5,36,10,0,0,0,85
04-16,38,14,7,21,6,1,1,1,89
04-17,33,24,8,37,6,1,1,0,110
04-18,28,17,9,38,10,3,0,0,105
04-19,21,14,4,14,5,1,2,0,61
04-20,25,9,11,28,12,0,4,0,89
04-21,53,27,7,41,17,0,4,0,149
05-01,100,112,15,3,64,4,8,0,306
05-02,44,63,17,2,40,0,6,0,172
05-03,75,80,12,2,47,1,1,0,218
05-04,130,86,13,0,49,2,6,0,286
05-05,132,69,18,3,22,3,4,0,251
05-06,137,64,4,0,46,2,4,1,258
05-07,105,43,8,1,24,1,1,0,183
05-08,130,71,20,7,28,3,8,0,267
