DIVNO,Precinct,Krasner,Grossman,Write In,Total,PctKrasner,PctGrossman,PctWI,KrasnerPCT,GrossmanPCT,WIPCT
0101,01-01,127,35,0,162,78.40%,21.60%,0.00%,0.7840,0.2160,0.0000
0102,01-02,156,35,0,191,81.68%,18.32%,0.00%,0.8168,0.1832,0.0000
0103,01-03,162,79,0,241,67.22%,32.78%,0.00%,0.6722,0.3278,0.0000
0104,01-04,134,60,0,194,69.07%,30.93%,0.00%,0.6907,0.3093,0.0000
0105,01-05,66,13,0,79,83.54%,16.46%,0.00%,0.8354,0.1646,0.0000
0106,01-06,97,22,0,119,81.51%,18.49%,0.00%,0.8151,0.1849,0.0000
0107,01-07,67,5,0,72,93.06%,6.94%,0.00%,0.9306,0.0694,0.0000
0108,01-08,113,23,0,136,83.09%,16.91%,0.00%,0.8309,0.1691,0.0000
0109,01-09,119,34,0,153,77.78%,22.22%,0.00%,0.7778,0.2222,0.0000
0110,01-10,174,25,0,199,87.44%,12.56%,0.00%,0.8744,0.1256,0.0000
0111,01-11,199,54,0,253,78.66%,21.34%,0.00%,0.7866,0.2134,0.0000
0112,01-12,91,15,1,107,85.05%,14.02%,0.93%,0.8505,0.1402,0.0093
0113,01-13,133,18,0,151,88.08%,11.92%,0.00%,0.8808,0.1192,0.0000
0114,01-14,132,19,0,151,87.42%,12.58%,0.00%,0.8742,0.1258,0.0000
0115,01-15,188,71,0,259,72.59%,27.41%,0.00%,0.7259,0.2741,0.0000
0116,01-16,106,18,0,124,85.48%,14.52%,0.00%,0.8548,0.1452,0.0000
0117,01-17,102,81,0,183,55.74%,44.26%,0.00%,0.5574,0.4426,0.0000
0118,01-18,82,99,0,181,45.30%,54.70%,0.00%,0.4530,0.5470,0.0000
0119,01-19,98,100,0,198,49.49%,50.51%,0.00%,0.4949,0.5051,0.0000
0120,01-20,157,85,0,242,64.88%,35.12%,0.00%,0.6488,0.3512,0.0000
0121,01-21,92,84,0,176,52.27%,47.73%,0.00%,0.5227,0.4773,0.0000
0201,02-01,179,89,0,268,66.79%,33.21%,0.00%,0.6679,0.3321,0.0000
0202,02-02,136,16,0,152,89.47%,10.53%,0.00%,0.8947,0.1053,0.0000
0203,02-03,116,27,0,143,81.12%,18.88%,0.00%,0.8112,0.1888,0.0000
0204,02-04,149,38,0,187,79.68%,20.32%,0.00%,0.7968,0.2032,0.0000
0205,02-05,140,32,0,172,81.40%,18.60%,0.00%,0.8140,0.1860,0.0000
0206,02-06,190,39,0,229,82.97%,17.03%,0.00%,0.8297,0.1703,0.0000
0207,02-07,201,40,0,241,83.40%,16.60%,0.00%,0.8340,0.1660,0.0000
0208,02-08,118,35,0,153,77.12%,22.88%,0.00%,0.7712,0.2288,0.0000
0209,02-09,177,20,0,197,89.85%,10.15%,0.00%,0.8985,0.1015,0.0000
0210,02-10,176,23,0,199,88.44%,11.56%,0.00%,0.8844,0.1156,0.0000
0211,02-11,171,38,0,209,81.82%,18.18%,0.00%,0.8182,0.1818,0.0000
0212,02-12,176,28,0,204,86.27%,13.73%,0.00%,0.8627,0.1373,0.0000
0213,02-13,52,3,0,55,94.55%,5.45%,0.00%,0.9455,0.0545,0.0000
0214,02-14,140,32,0,172,81.40%,18.60%,0.00%,0.8140,0.1860,0.0000
0215,02-15,186,84,0,270,68.89%,31.11%,0.00%,0.6889,0.3111,0.0000
0216,02-16,296,56,0,352,84.09%,15.91%,0.00%,0.8409,0.1591,0.0000
0217,02-17,184,30,1,215,85.58%,13.95%,0.47%,0.8558,0.1395,0.0047
0218,02-18,173,35,0,208,83.17%,16.83%,0.00%,0.8317,0.1683,0.0000
0219,02-19,165,19,1,185,89.19%,10.27%,0.54%,0.8919,0.1027,0.0054
0220,02-20,84,9,0,93,90.32%,9.68%,0.00%,0.9032,0.0968,0.0000
0221,02-21,116,16,0,132,87.88%,12.12%,0.00%,0.8788,0.1212,0.0000
0222,02-22,256,36,0,292,87.67%,12.33%,0.00%,0.8767,0.1233,0.0000
0223,02-23,229,59,0,288,79.51%,20.49%,0.00%,0.7951,0.2049,0.0000
0224,02-24,220,53,0,273,80.59%,19.41%,0.00%,0.8059,0.1941,0.0000
0225,02-25,194,31,0,225,86.22%,13.78%,0.00%,0.8622,0.1378,0.0000
0226,02-26,253,71,0,324,78.09%,21.91%,0.00%,0.7809,0.2191,0.0000
0227,02-27,194,89,0,283,68.55%,31.45%,0.00%,0.6855,0.3145,0.0000
0301,03-01,73,2,0,75,97.33%,2.67%,0.00%,0.9733,0.0267,0.0000
0302,03-02,82,5,0,87,94.25%,5.75%,0.00%,0.9425,0.0575,0.0000
0303,03-03,121,5,0,126,96.03%,3.97%,0.00%,0.9603,0.0397,0.0000
0304,03-04,127,2,0,129,98.45%,1.55%,0.00%,0.9845,0.0155,0.0000
0305,03-05,77,3,0,80,96.25%,3.75%,0.00%,0.9625,0.0375,0.0000
0306,03-06,100,3,0,103,97.09%,2.91%,0.00%,0.9709,0.0291,0.0000
0307,03-07,99,3,0,102,97.06%,2.94%,0.00%,0.9706,0.0294,0.0000
0308,03-08,111,1,0,112,99.11%,0.89%,0.00%,0.9911,0.0089,0.0000
0309,03-09,150,7,0,157,95.54%,4.46%,0.00%,0.9554,0.0446,0.0000
0310,03-10,0,0,0,0,0.00%,0.00%,0.00%,0.0000,0.0000,0.0000
0311,03-11,163,7,0,170,95.88%,4.12%,0.00%,0.9588,0.0412,0.0000
0312,03-12,105,5,0,110,95.45%,4.55%,0.00%,0.9545,0.0455,0.0000
0313,03-13,68,1,0,69,98.55%,1.45%,0.00%,0.9855,0.0145,0.0000
0314,03-14,128,5,0,133,96.24%,3.76%,0.00%,0.9624,0.0376,0.0000
0315,03-15,146,2,0,148,98.65%,1.35%,0.00%,0.9865,0.0135,0.0000
0316,03-16,139,4,0,143,97.20%,2.80%,0.00%,0.9720,0.0280,0.0000
0317,03-17,154,1,0,155,99.35%,0.65%,0.00%,0.9935,0.0065,0.0000
0318,03-18,125,1,0,126,99.21%,0.79%,0.00%,0.9921,0.0079,0.0000
0319,03-19,154,1,0,155,99.35%,0.65%,0.00%,0.9935,0.0065,0.0000
0320,03-20,101,2,0,103,98.06%,1.94%,0.00%,0.9806,0.0194,0.0000
0321,03-21,50,3,0,53,94.34%,5.66%,0.00%,0.9434,0.0566,0.0000
0322,03-22,102,3,0,105,97.14%,2.86%,0.00%,0.9714,0.0286,0.0000
0401,04-01,91,1,0,92,98.91%,1.09%,0.00%,0.9891,0.0109,0.0000
0402,04-02,135,3,0,138,97.83%,2.17%,0.00%,0.9783,0.0217,0.0000
0403,04-03,107,6,0,113,94.69%,5.31%,0.00%,0.9469,0.0531,0.0000
0404,04-04,57,2,0,59,96.61%,3.39%,0.00%,0.9661,0.0339,0.0000
0405,04-05,115,5,0,120,95.83%,4.17%,0.00%,0.9583,0.0417,0.0000
0406,04-06,110,2,0,112,98.21%,1.79%,0.00%,0.9821,0.0179,0.0000
0407,04-07,141,2,0,143,98.60%,1.40%,0.00%,0.9860,0.0140,0.0000
0408,04-08,127,1,0,128,99.22%,0.78%,0.00%,0.9922,0.0078,0.0000
0409,04-09,111,6,0,117,94.87%,5.13%,0.00%,0.9487,0.0513,0.0000
0410,04-10,111,1,0,112,99.11%,0.89%,0.00%,0.9911,0.0089,0.0000
0411,04-11,104,8,0,112,92.86%,7.14%,0.00%,0.9286,0.0714,0.0000
0412,04-12,93,1,0,94,98.94%,1.06%,0.00%,0.9894,0.0106,0.0000
0413,04-13,112,4,0,116,96.55%,3.45%,0.00%,0.9655,0.0345,0.0000
0414,04-14,90,1,0,91,98.90%,1.10%,0.00%,0.9890,0.0110,0.0000
0415,04-15,95,5,0,100,95.00%,5.00%,0.00%,0.9500,0.0500,0.0000
0416,04-16,102,11,0,113,90.27%,9.73%,0.00%,0.9027,0.0973,0.0000
0417,04-17,116,2,0,118,98.31%,1.69%,0.00%,0.9831,0.0169,0.0000
0418,04-18,127,3,0,130,97.69%,2.31%,0.00%,0.9769,0.0231,0.0000
0419,04-19,79,3,0,82,96.34%,3.66%,0.00%,0.9634,0.0366,0.0000
0420,04-20,97,0,0,97,100.00%,0.00%,0.00%,1.0000,0.0000,0.0000
0421,04-21,151,4,0,155,97.42%,2.58%,0.00%,0.9742,0.0258,0.0000
0501,05-01,272,119,0,391,69.57%,30.43%,0.00%,0.6957,0.3043,0.0000
0502,05-02,153,78,0,231,66.23%,33.77%,0.00%,0.6623,0.3377,0.0000
0503,05-03,203,110,0,313,64.86%,35.14%,0.00%,0.6486,0.3514,0.0000
0504,05-04,244,83,0,327,74.62%,25.38%,0.00%,0.7462,0.2538,0.0000
0505,05-05,205,53,1,259,79.15%,20.46%,0.39%,0.7915,0.2046,0.0039
0506,05-06,238,62,1,301,79.07%,20.60%,0.33%,0.7907,0.2060,0.0033
0507,05-07,166,39,0,205,80.98%,19.02%,0.00%,0.8098,0.1902,0.0000
0508,05-08,257,61,0,318,80.82%,19.18%,0.00%,0.8082,0.1918,0.0000
0509,05-09,209,63,0,272,76.84%,23.16%,0.00%,0.7684,0.2316,0.0000
0510,05-10,99,69,0,168,58.93%,41.07%,0.00%,0.5893,0.4107,0.0000
0511,05-11,225,46,1,272,82.72%,16.91%,0.37%,0.8272,0.1691,0.0037
0512,05-12,266,66,0,332,80.12%,19.88%,0.00%,0.8012,0.1988,0.0000
0513,05-13,37,8,0,45,82.22%,17.78%,0.00%,0.8222,0.1778,0.0000
