Precinct,Krasner,Khan,Untermeyer,El_Shabazz,Negrin,Deni,O_Neill,Write_In,DivNo,Winner,WinPercent
01-01,55.30,18.18,1.52,0.76,11.36,0.00,12.88,0.00,101,Krasner,55.30
01-02,61.68,17.96,4.79,0.00,7.19,0.00,8.38,0.00,102,Krasner,61.68
01-03,59.49,10.77,1.54,0.00,13.33,1.54,13.33,0.00,103,Krasner,59.49
01-04,56.82,17.42,3.79,3.03,11.36,3.03,4.55,0.00,104,Krasner,56.82
01-05,56.90,17.24,1.72,1.72,13.79,1.72,6.90,0.00,105,Krasner,56.90
01-06,56.82,18.18,5.68,1.14,10.23,0.00,7.95,0.00,106,Krasner,56.82
01-07,56.52,11.59,11.59,10.14,5.80,0.00,4.35,0.00,107,Krasner,56.52
01-08,62.39,17.09,5.98,0.00,6.84,1.71,5.98,0.00,108,Krasner,62.39
01-09,60.14,11.59,4.35,0.00,7.25,0.72,15.94,0.00,109,Krasner,60.14
01-10,74.19,12.90,3.87,0.00,4.52,0.65,3.87,0.00,110,Krasner,74.19
01-11,55.70,22.37,0.88,0.00,12.72,1.32,7.02,0.00,111,Krasner,55.70
01-12,68.67,7.23,6.02,4.82,9.64,0.00,3.61,0.00,112,Krasner,68.67
01-13,61.29,16.94,4.03,1.61,8.06,1.61,6.45,0.00,113,Krasner,61.29
01-14,66.67,10.83,5.83,3.33,6.67,2.50,4.17,0.00,114,Krasner,66.67
01-15,57.69,13.46,5.77,2.40,13.94,2.40,4.33,0.00,115,Krasner,57.69
01-16,55.88,17.65,4.90,0.00,4.90,0.98,15.69,0.00,116,Krasner,55.88
01-17,42.02,14.29,9.24,3.36,15.13,2.52,13.45,0.00,117,Krasner,42.02
01-18,24.68,12.03,2.53,1.27,16.46,0.00,43.04,0.00,118,O'Neill,43.04
01-19,26.51,18.67,6.63,0.00,13.25,0.60,34.34,0.00,119,O'Neill,34.34
01-20,48.11,18.87,2.83,1.42,15.57,1.89,11.32,0.00,120,Krasner,48.11
01-21,36.22,15.75,7.87,0.79,11.81,0.00,27.56,0.00,121,Krasner,36.22
02-01,44.12,26.47,4.41,1.47,16.67,0.00,6.86,0.00,201,Krasner,44.12
02-02,57.38,14.75,5.74,7.38,9.84,2.46,2.46,0.00,202,Krasner,57.38
02-03,60.32,22.22,3.97,0.79,6.35,1.59,4.76,0.00,203,Krasner,60.32
02-04,60.76,18.99,2.53,0.00,12.03,1.90,3.80,0.00,204,Krasner,60.76
02-05,64.56,12.66,4.43,1.90,14.56,0.63,1.27,0.00,205,Krasner,64.56
02-06,61.54,15.90,3.08,1.54,7.18,2.05,8.72,0.00,206,Krasner,61.54
02-07,57.64,19.70,3.94,3.45,10.34,0.49,4.43,0.00,207,Krasner,57.64
02-08,53.49,24.03,3.10,4.65,10.08,2.33,2.33,0.00,208,Krasner,53.49
