"DistName",County,Precinct,King,Smucker,WriteIn,Total,KingPct,SmuckPct,WIPct
"100",Lancaster,Lancaster City - 1st Ward,283,46,,329,86.02,13.98,0.00
"201",Lancaster,Lancaster City - 2nd Ward - 1st Precinct,422,92,2,516,81.78,17.83,0.39
"202",Lancaster,Lancaster City - 2nd Ward - 2nd Precinct,426,108,,534,79.78,20.22,0.00
"300",Lancaster,Lancaster City - 3rd Ward,366,69,,435,84.14,15.86,0.00
"401",Lancaster,Lancaster City - 4th Ward - 1st Precinct,179,27,1,207,86.47,13.04,0.48
"402",Lancaster,Lancaster City - 4th Ward - 2nd Precinct,209,32,1,242,86.36,13.22,0.41
"501",Lancaster,Lancaster City - 5th Ward - 1st Precinct,451,81,,532,84.77,15.23,0.00
"502",Lancaster,Lancaster City - 5th Ward - 2nd Precinct,325,69,,394,82.49,17.51,0.00
"503",Lancaster,Lancaster City - 5th Ward - 3rd Precinct,404,84,,488,82.79,17.21,0.00
"601",Lancaster,Lancaster City - 6th Ward - 1st Precinct,399,80,,479,83.30,16.70,0.00
"602",Lancaster,Lancaster City - 6th Ward - 2nd Precinct,272,56,,328,82.93,17.07,0.00
"603",Lancaster,Lancaster City - 6th Ward - 3rd Precinct,405,117,,522,77.59,22.41,0.00
"604",Lancaster,Lancaster City - 6th Ward - 4th Precinct,432,100,,532,81.20,18.80,0.00
"605",Lancaster,Lancaster City - 6th Ward - 5th Precinct,424,83,,507,83.63,16.37,0.00
"606",Lancaster,Lancaster City - 6th Ward - 6th Precinct,193,130,,323,59.75,40.25,0.00
"607",Lancaster,Lancaster City - 6th Ward - 7th Precinct,437,112,1,550,79.45,20.36,0.18
"608",Lancaster,Lancaster City - 6th Ward - 8th Precinct,385,116,,501,76.85,23.15,0.00
"701",Lancaster,Lancaster City - 7th Ward - 1st Precinct,345,29,,374,92.25,7.75,0.00
"702",Lancaster,Lancaster City - 7th Ward - 2nd Precinct,343,21,,364,94.23,5.77,0.00
"703",Lancaster,Lancaster City - 7th Ward - 3rd Precinct,211,24,,235,89.79,10.21,0.00
"704",Lancaster,Lancaster City - 7th Ward - 4th Precinct,280,33,,313,89.46,10.54,0.00
"705",Lancaster,Lancaster City - 7th Ward - 5th Precinct,234,22,,256,91.41,8.59,0.00
"706",Lancaster,Lancaster City - 7th Ward - 6th Precinct,190,32,1,223,85.20,14.35,0.45
"707",Lancaster,Lancaster City - 7th Ward - 7th Precinct,307,72,1,380,80.79,18.95,0.26
"708".2,Lancaster,Lancaster City - 7th Ward - 8th Precinct (CV),96,95,,191,50.26,49.74,0.00
"708".3,Lancaster,Lancaster City - 7th Ward - 8th Precinct (LS),143,136,,279,51.25,48.75,0.00
"801",Lancaster,Lancaster City - 8th Ward - 1st Precinct,226,49,1,276,81.88,17.75,0.36
"802",Lancaster,Lancaster City - 8th Ward - 2nd Precinct,225,37,,262,85.88,14.12,0.00
"803",Lancaster,Lancaster City - 8th Ward - 3rd Precinct,248,79,,327,75.84,24.16,0.00
"804",Lancaster,Lancaster City - 8th Ward - 4th Precinct,505,148,3,656,76.98,22.56,0.46
"805",Lancaster,Lancaster City - 8th Ward - 5th Precinct,267,51,,318,83.96,16.04,0.00
"806",Lancaster,Lancaster City - 8th Ward - 6th Precinct,252,69,1,322,78.26,21.43,0.31
"807",Lancaster,Lancaster City - 8th Ward - 7th Precinct,421,178,,599,70.28,29.72,0.00
"808",Lancaster,Lancaster City - 8th Ward - 8th Precinct,438,131,,569,76.98,23.02,0.00
"809",Lancaster,Lancaster City - 8th Ward - 9th Precinct,407,104,,511,79.65,20.35,0.00
"901",Lancaster,Lancaster City - 9th Ward - 1st Precinct,519,124,,643,80.72,19.28,0.00
"902",Lancaster,Lancaster City - 9th Ward - 2nd Precinct,120,46,1,167,71.86,27.54,0.60
"903",Lancaster,Lancaster City - 9th Ward - 3rd Precinct,494,91,1,586,84.30,15.53,0.17
"904",Lancaster,Lancaster City - 9th Ward - 4th Precinct,968,171,1,1140,84.91,15.00,0.09
"905",Lancaster,Lancaster City - 9th Ward - 5th Precinct,547,133,,680,80.44,19.56,0.00
"1000",Lancaster,Adamstown Boro,302,453,1,756,39.95,59.92,0.13
"1101",Lancaster,Akron Boro - East Dist,275,429,2,706,38.95,60.76,0.28
"1102",Lancaster,Akron Boro - West Dist,389,641,,1030,37.77,62.23,0.00
"1200",Lancaster,Christiana Boro,155,179,,334,46.41,53.59,0.00
"1301",Lancaster,Columbia Boro - 1st Ward,230,148,2,380,60.53,38.95,0.53
"1304",Lancaster,Columbia Boro - 4th Ward,201,176,,377,53.32,46.68,0.00
"1305",Lancaster,Columbia Boro - 5th Ward,223,182,,405,55.06,44.94,0.00
"1306",Lancaster,Columbia Boro - 6th Ward,323,432,,755,42.78,57.22,0.00
"1307",Lancaster,Columbia Boro - 7th Ward,276,259,1,536,51.49,48.32,0.19
"1309",Lancaster,Columbia Boro - 9th Ward,182,195,,377,48.28,51.72,0.00
"1400",Lancaster,Denver Boro,493,872,2,1367,36.06,63.79,0.15
