DistName,County,Precinct,King,Smucker,WriteIn,Total,KingPct,SmuckPct,WIPct,Wolf,Wagner,Glover,Krawchuk,Write In,Total,WolfPct,WagnerPct,KingWolfdiff,Clinton,Trump,Castle,Stein,Johnson,Write In,Total,ClintonPct,TrumpPct,KingClintDiff
L100,Lancaster,Lancaster City - 1st Ward,283,46,0,329,86.02,13.98,0.00,280,37,3,4,0,324,86.42,11.42,-0.40,291,61,2,11,17,6,388,75.00,15.72,11.02
L201,Lancaster,Lancaster City - 2nd Ward - 1st Precinct,422,92,2,516,81.78,17.83,0.39,422,77,3,12,0,514,82.10,14.98,-0.32,454,122,,9,26,10,621,73.11,19.65,8.68
L202,Lancaster,Lancaster City - 2nd Ward - 2nd Precinct,426,108,0,534,79.78,20.22,0.00,426,99,6,5,0,536,79.48,18.47,0.30,532,145,7,12,27,20,743,71.60,19.52,8.17
L300,Lancaster,Lancaster City - 3rd Ward,366,69,0,435,84.14,15.86,0.00,360,62,3,2,0,427,84.31,14.52,-0.17,473,75,1,4,9,4,566,83.57,13.25,0.57
L401,Lancaster,Lancaster City - 4th Ward - 1st Precinct,179,27,1,207,86.47,13.04,0.48,170,24,4,10,0,208,81.73,11.54,4.74,285,69,2,1,10,4,371,76.82,18.60,9.65
L402,Lancaster,Lancaster City - 4th Ward - 2nd Precinct,209,32,1,242,86.36,13.22,0.41,209,27,3,3,0,242,86.36,11.16,0.00,402,51,,5,9,2,469,85.71,10.87,0.65
L501,Lancaster,Lancaster City - 5th Ward - 1st Precinct,451,81,0,532,84.77,15.23,0.00,443,75,9,5,1,533,83.11,14.07,1.66,488,103,2,11,23,6,633,77.09,16.27,7.68
L502,Lancaster,Lancaster City - 5th Ward - 2nd Precinct,325,69,0,394,82.49,17.51,0.00,317,64,4,8,1,394,80.46,16.24,2.03,323,99,1,10,17,9,459,70.37,21.57,12.12
L503,Lancaster,Lancaster City - 5th Ward - 3rd Precinct,404,84,0,488,82.79,17.21,0.00,400,77,4,6,0,487,82.14,15.81,0.65,425,130,4,10,17,17,603,70.48,21.56,12.31
L601,Lancaster,Lancaster City - 6th Ward - 1st Precinct,399,80,0,479,83.30,16.70,0.00,392,74,7,5,0,478,82.01,15.48,1.29,428,119,2,10,33,11,603,70.98,19.73,12.32
L602,Lancaster,Lancaster City - 6th Ward - 2nd Precinct,272,56,0,328,82.93,17.07,0.00,264,52,3,8,0,327,80.73,15.90,2.19,299,87,8,11,26,8,439,68.11,19.82,14.82
L603,Lancaster,Lancaster City - 6th Ward - 3rd Precinct,405,117,0,522,77.59,22.41,0.00,403,97,3,15,1,519,77.65,18.69,-0.06,462,142,9,13,34,11,671,68.85,21.16,8.73
L604,Lancaster,Lancaster City - 6th Ward - 4th Precinct,432,100,0,532,81.20,18.80,0.00,434,89,3,7,1,534,81.27,16.67,-0.07,514,152,2,14,32,8,722,71.19,21.05,10.01
L605,Lancaster,Lancaster City - 6th Ward - 5th Precinct,424,83,0,507,83.63,16.37,0.00,413,75,8,5,1,502,82.27,14.94,1.36,424,122,,16,22,5,589,71.99,20.71,11.64
L606,Lancaster,Lancaster City - 6th Ward - 6th Precinct,193,130,0,323,59.75,40.25,0.00,202,110,2,6,0,320,63.13,34.38,-3.37,227,207,3,6,22,4,469,48.40,44.14,11.35
L607,Lancaster,Lancaster City - 6th Ward - 7th Precinct,437,112,1,550,79.45,20.36,0.18,430,100,3,11,1,545,78.90,18.35,0.56,431,159,3,15,35,15,658,65.50,24.16,13.95
L608,Lancaster,Lancaster City - 6th Ward - 8th Precinct,385,116,0,501,76.85,23.15,0.00,380,100,5,8,0,493,77.08,20.28,-0.23,475,163,5,4,21,11,679,69.96,24.01,6.89
L701,Lancaster,Lancaster City - 7th Ward - 1st Precinct,345,29,0,374,92.25,7.75,0.00,336,26,3,7,0,372,90.32,6.99,1.92,549,51,1,3,11,8,623,88.12,8.19,4.12
L702,Lancaster,Lancaster City - 7th Ward - 2nd Precinct,343,21,0,364,94.23,5.77,0.00,338,24,2,3,0,367,92.10,6.54,2.13,488,33,,2,3,4,530,92.08,6.23,2.16
L703,Lancaster,Lancaster City - 7th Ward - 3rd Precinct,211,24,0,235,89.79,10.21,0.00,207,18,1,5,0,231,89.61,7.79,0.18,370,43,,1,7,2,423,87.47,10.17,2.32
L704,Lancaster,Lancaster City - 7th Ward - 4th Precinct,280,33,0,313,89.46,10.54,0.00,273,33,1,3,0,310,88.06,10.65,1.39,418,40,2,1,9,6,476,87.82,8.40,1.64
L705,Lancaster,Lancaster City - 7th Ward - 5th Precinct,234,22,0,256,91.41,8.59,0.00,229,20,3,2,0,254,90.16,7.87,1.25,391,26,2,3,3,1,426,91.78,6.10,-0.38
L706,Lancaster,Lancaster City - 7th Ward - 6th Precinct,190,32,1,223,85.20,14.35,0.45,187,26,2,6,0,221,84.62,11.76,0.59,254,43,2,1,5,2,307,82.74,14.01,2.47
L707,Lancaster,Lancaster City - 7th Ward - 7th Precinct,307,72,1,380,80.79,18.95,0.26,305,69,1,1,0,376,81.12,18.35,-0.33,421,98,,1,16,7,543,77.53,18.05,3.26
L708.2,Lancaster,Lancaster City - 7th Ward - 8th Precinct (CV),96,95,0,191,50.26,49.74,0.00,99,86,,4,0,189,52.38,45.50,-2.12,97,115,,4,5,1,222,43.69,51.80,6.57
L708.3,Lancaster,Lancaster City - 7th Ward - 8th Precinct (LS),143,136,0,279,51.25,48.75,0.00,161,111,1,4,0,277,58.12,40.07,-6.87,130,156,2,3,11,9,311,41.80,50.16,9.45
L801,Lancaster,Lancaster City - 8th Ward - 1st Precinct,226,49,1,276,81.88,17.75,0.36,223,46,4,3,0,276,80.80,16.67,1.09,318,79,2,6,14,7,426,74.65,18.54,7.24
L802,Lancaster,Lancaster City - 8th Ward - 2nd Precinct,225,37,0,262,85.88,14.12,0.00,215,38,1,5,0,259,83.01,14.67,2.87,297,73,4,3,9,6,392,75.77,18.62,10.11
L803,Lancaster,Lancaster City - 8th Ward - 3rd Precinct,248,79,0,327,75.84,24.16,0.00,256,66,,3,1,326,78.53,20.25,-2.69,326,98,1,12,8,5,450,72.44,21.78,3.40
L804,Lancaster,Lancaster City - 8th Ward - 4th Precinct,505,148,3,656,76.98,22.56,0.46,506,127,7,14,3,657,77.02,19.33,-0.04,547,233,,12,29,15,836,65.43,27.87,11.55
L805,Lancaster,Lancaster City - 8th Ward - 5th Precinct,267,51,0,318,83.96,16.04,0.00,266,43,5,2,0,316,84.18,13.61,-0.21,395,72,4,15,18,6,510,77.45,14.12,6.51
L806,Lancaster,Lancaster City - 8th Ward - 6th Precinct,252,69,1,322,78.26,21.43,0.31,248,67,2,5,0,322,77.02,20.81,1.24,303,114,9,3,9,5,443,68.40,25.73,9.86
L807,Lancaster,Lancaster City - 8th Ward - 7th Precinct,421,178,0,599,70.28,29.72,0.00,433,154,3,9,0,599,72.29,25.71,-2.00,431,270,5,8,28,15,757,56.94,35.67,13.35
L808,Lancaster,Lancaster City - 8th Ward - 8th Precinct,438,131,0,569,76.98,23.02,0.00,423,130,6,2,0,561,75.40,23.17,1.58,502,207,2,18,25,10,764,65.71,27.09,11.27
L809,Lancaster,Lancaster City - 8th Ward - 9th Precinct,407,104,0,511,79.65,20.35,0.00,405,96,2,3,0,506,80.04,18.97,-0.39,528,135,6,3,12,6,690,76.52,19.57,3.13
L901,Lancaster,Lancaster City - 9th Ward - 1st Precinct,519,124,0,643,80.72,19.28,0.00,530,103,5,7,0,645,82.17,15.97,-1.46,496,154,2,18,25,8,703,70.55,21.91,10.16
L902,Lancaster,Lancaster City - 9th Ward - 2nd Precinct,120,46,1,167,71.86,27.54,0.60,115,43,2,5,0,165,69.70,26.06,2.16,149,54,,6,9,10,228,65.35,23.68,6.51
L903,Lancaster,Lancaster City - 9th Ward - 3rd Precinct,494,91,1,586,84.30,15.53,0.17,501,83,2,1,0,587,85.35,14.14,-1.05,508,111,5,13,18,9,664,76.51,16.72,7.79
L904,Lancaster,Lancaster City - 9th Ward - 4th Precinct,968,171,1,1140,84.91,15.00,0.09,951,156,20,13,2,1142,83.27,13.66,1.64,1246,262,3,13,37,26,1587,78.51,16.51,6.40
L905,Lancaster,Lancaster City - 9th Ward - 5th Precinct,547,133,0,680,80.44,19.56,0.00,548,125,2,2,1,678,80.83,18.44,-0.38,526,140,,10,26,18,720,73.06,19.44,7.39
L1000,Lancaster,Adamstown Boro,302,453,1,756,39.95,59.92,0.13,316,418,6,12,0,752,42.02,55.59,-2.07,307,560,3,7,37,13,927,33.12,60.41,6.83
L1101,Lancaster,Akron Boro - East Dist,275,429,2,706,38.95,60.76,0.28,281,386,10,26,0,703,39.97,54.91,-1.02,274,499,8,8,29,18,836,32.78,59.69,6.18
L1102,Lancaster,Akron Boro - West Dist,389,641,0,1030,37.77,62.23,0.00,409,582,5,25,0,1021,40.06,57.00,-2.29,372,756,14,13,67,30,1252,29.71,60.38,8.05
L1200,Lancaster,Christiana Boro,155,179,0,334,46.41,53.59,0.00,160,169,3,1,0,333,48.05,50.75,-1.64,133,241,1,2,16,7,400,33.25,60.25,13.16
L1301,Lancaster,Columbia Boro - 1st Ward,230,148,2,380,60.53,38.95,0.53,242,127,2,9,1,381,63.52,33.33,-2.99,330,248,3,9,31,7,628,52.55,39.49,7.98
L1304,Lancaster,Columbia Boro - 4th Ward,201,176,0,377,53.32,46.68,0.00,205,163,3,4,0,375,54.67,43.47,-1.35,237,235,1,5,16,1,495,47.88,47.47,5.44
L1305,Lancaster,Columbia Boro - 5th Ward,223,182,0,405,55.06,44.94,0.00,229,165,2,7,0,403,56.82,40.94,-1.76,267,263,3,7,13,3,556,48.02,47.30,7.04
L1306,Lancaster,Columbia Boro - 6th Ward,323,432,0,755,42.78,57.22,0.00,351,383,5,14,0,753,46.61,50.86,-3.83,416,585,2,9,29,15,1056,39.39,55.40,3.39
L1307,Lancaster,Columbia Boro - 7th Ward,276,259,1,536,51.49,48.32,0.19,292,232,3,10,0,537,54.38,43.20,-2.88,224,302,3,3,19,3,554,40.43,54.51,11.06
L1309,Lancaster,Columbia Boro - 9th Ward,182,195,0,377,48.28,51.72,0.00,195,172,4,7,0,378,51.59,45.50,-3.31,199,259,2,3,21,5,489,40.70,52.97,7.58
L1400,Lancaster,Denver Boro,493,872,2,1367,36.06,63.79,0.15,540,782,10,29,2,1363,39.62,57.37,-3.55,437,1150,15,16,70,21,1709,25.57,67.29,10.49
L1500,Lancaster,East Petersburg Boro North,399,297,0,696,57.33,42.67,0.00,408,268,5,11,0,692,58.96,38.73,-1.63,408,386,7,3,29,22,855,47.72,45.15,9.61
L1501,Lancaster,East Petersburg Boro South,321,304,0,625,51.36,48.64,0.00,343,266,8,5,0,622,55.14,42.77,-3.78,298,336,10,6,26,28,704,42.33,47.73,9.03
L1502,Lancaster,East Petersburg Boro West,332,364,0,696,47.70,52.30,0.00,354,325,7,8,0,694,51.01,46.83,-3.31,292,467,7,14,36,18,834,35.01,56.00,12.69
L1601,Lancaster,Elizabethtown Boro - 1st Ward,560,575,2,1137,49.25,50.57,0.18,570,519,23,29,0,1141,49.96,45.49,-0.70,557,799,14,26,72,16,1484,37.53,53.84,11.72
L1602,Lancaster,Elizabethtown Boro - 2nd Ward,377,490,3,870,43.33,56.32,0.34,422,428,2,16,0,868,48.62,49.31,-5.28,372,624,10,6,47,25,1084,34.32,57.56,9.02
L1603,Lancaster,Elizabethtown Boro - 3rd Ward - 1st Precinct,216,302,0,518,41.70,58.30,0.00,239,262,7,7,1,516,46.32,50.78,-4.62,207,378,6,5,23,5,624,33.17,60.58,8.53
