Precinct,DistName,DISTID,County,King,Smucker,WriteIn,Total,KingPct,SmuckPct,WIPct,Wolf,Wagner,Glover,Krawchuk,Write In,Total,WolfPct,WagnerPct,KingWolfdiff,Clinton,Trump,Castle,Stein,Johnson,Write In,Total,ClintonPct,TrumpPct,KingClintDiff,Casey,Barletta,Gale,Kerns,Write In,SenTotal,CaseyPct,BarlettaPct,KingCaseyDiff
Lancaster City - 1st Ward,100,L100,Lancaster,283,46,0,329,86.02,13.98,0.00,280,37,3,4,0,324,86.42,11.42,-0.40,291,61,2,11,17,6,388,75.00,15.72,11.02,278,40,1,7,,326,85.28,12.27,0.74
Lancaster City - 2nd Ward - 1st Precinct,201,L201,Lancaster,422,92,2,516,81.78,17.83,0.39,422,77,3,12,0,514,82.10,14.98,-0.32,454,122,,9,26,10,621,73.11,19.65,8.68,420,78,3,15,1,517,81.24,15.09,0.55
Lancaster City - 2nd Ward - 2nd Precinct,202,L202,Lancaster,426,108,0,534,79.78,20.22,0.00,426,99,6,5,0,536,79.48,18.47,0.30,532,145,7,12,27,20,743,71.60,19.52,8.17,408,105,5,18,,536,76.12,19.59,3.66
Lancaster City - 3rd Ward,300,L300,Lancaster,366,69,0,435,84.14,15.86,0.00,360,62,3,2,0,427,84.31,14.52,-0.17,473,75,1,4,9,4,566,83.57,13.25,0.57,360,59,3,7,,429,83.92,13.75,0.22
Lancaster City - 4th Ward - 1st Precinct,401,L401,Lancaster,179,27,1,207,86.47,13.04,0.48,170,24,4,10,0,208,81.73,11.54,4.74,285,69,2,1,10,4,371,76.82,18.60,9.65,169,23,5,11,,208,81.25,11.06,5.22
Lancaster City - 4th Ward - 2nd Precinct,402,L402,Lancaster,209,32,1,242,86.36,13.22,0.41,209,27,3,3,0,242,86.36,11.16,0.00,402,51,,5,9,2,469,85.71,10.87,0.65,207,28,1,6,2,244,84.84,11.48,1.53
Lancaster City - 5th Ward - 1st Precinct,501,L501,Lancaster,451,81,0,532,84.77,15.23,0.00,443,75,9,5,1,533,83.11,14.07,1.66,488,103,2,11,23,6,633,77.09,16.27,7.68,437,82,11,7,,537,81.38,15.27,3.40
Lancaster City - 5th Ward - 2nd Precinct,502,L502,Lancaster,325,69,0,394,82.49,17.51,0.00,317,64,4,8,1,394,80.46,16.24,2.03,323,99,1,10,17,9,459,70.37,21.57,12.12,306,70,9,8,,393,77.86,17.81,4.62
Lancaster City - 5th Ward - 3rd Precinct,503,L503,Lancaster,404,84,0,488,82.79,17.21,0.00,400,77,4,6,0,487,82.14,15.81,0.65,425,130,4,10,17,17,603,70.48,21.56,12.31,395,79,4,11,,489,80.78,16.16,2.01
Lancaster City - 6th Ward - 1st Precinct,601,L601,Lancaster,399,80,0,479,83.30,16.70,0.00,392,74,7,5,0,478,82.01,15.48,1.29,428,119,2,10,33,11,603,70.98,19.73,12.32,381,77,9,11,,478,79.71,16.11,3.59
