FID,OBJECTID,DISTRICT_N,MUNICIPALI,VR_DISTRIC,WARD,PRECINCT,VOTERS,DISTRICT,VOTE_ID
0,393,5 WARD,CITY OF LANCASTER,503.000000000000000,5.000000000000000,3.000000000000000,0.000000000000000,335,
1,394,3 WARD,CITY OF LANCASTER,300.000000000000000,3.000000000000000,1.000000000000000,1100.000000000000000,333,
2,395,4,LANCASTER TOWNSHIP,5304.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,340,
3,396,2 WARD,CITY OF LANCASTER,202.000000000000000,2.000000000000000,2.000000000000000,0.000000000000000,332,
4,397,ADAMSTOWN BOROUGH,ADAMSTOWN BOROUGH,1000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,10,
5,398,1,MARIETTA BOROUGH,2001.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,420,
6,399,DENVER BOROUGH,DENVER BOROUGH,1400.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,140,
7,400,4 WARD,CITY OF LANCASTER,402.000000000000000,4.000000000000000,2.000000000000000,995.000000000000000,334,
8,401,1 WARD,STRASBURG BOROUGH,2701.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,570,
9,402,2 WARD,MANHEIM BOROUGH,1902.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,400,
10,403,MOUNTVILLE BOROUGH,MOUNTVILLE BOROUGH,2400.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,470,
11,404,7 WARD,CITY OF LANCASTER,708.200000000000050,7.000000000000000,8.000000000000000,0.000000000000000,780,
12,405,TERRE HILL BOROUGH,TERRE HILL BOROUGH,2800.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,590,
13,406,4 WARD,EPHRATA BOROUGH,1704.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,260,
14,407,WEST WILLOW,PEQUEA TOWNSHIP,6300.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,510,
15,408,7 WARD,CITY OF LANCASTER,708.299999999999950,7.000000000000000,8.000000000000000,0.000000000000000,790,
16,409,EAST,AKRON BOROUGH,1101.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,20,
17,410,MARTINDALE,EARL TOWNSHIP,4201.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,190,
18,411,3,NEW HOLLAND BOROUGH,2503.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,480,
19,412,3 WARD 1 PRECINCT,LITITZ BOROUGH,1805.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,370,
20,413,LINCOLN,EPHRATA TOWNSHIP,4701.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,270,
21,414,EARLVILLE,WEST EARL TOWNSHIP,4401.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,210,
22,415,BAREVILLE,UPPER LEACOCK TOWNSHIP,5501.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,360,
23,416,SOUTH,EAST PETERSBURG BOROUGH,1501.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,220,
24,418,TERRE HILL,EAST EARL TOWNSHIP,4302.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,200,
25,419,7A,MANHEIM TOWNSHIP,5707.199999999999800,0.000000000000000,0.000000000000000,0.000000000000000,390,
26,420,6 WARD,CITY OF LANCASTER,606.000000000000000,6.000000000000000,6.000000000000000,0.000000000000000,810,
27,421,1 WARD,CITY OF LANCASTER,100.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,331,
28,422,2,MILLERSVILLE BOROUGH,2102.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,440,
29,423,6 WARD,CITY OF LANCASTER,607.000000000000000,6.000000000000000,7.000000000000000,0.000000000000000,336,
30,424,9 WARD,CITY OF LANCASTER,904.000000000000000,9.000000000000000,4.000000000000000,0.000000000000000,339,
31,425,1,MANHEIM TOWNSHIP,5701.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,390,
32,426,BART TOWNSHIP,BART TOWNSHIP,2900.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,30,
33,427,QUARRYVILLE BOROUGH,QUARRYVILLE BOROUGH,2600.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,530,
34,428,WEST,PROVIDENCE TOWNSHIP,6401.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,520,
35,429,LITTLE BRITAIN TOWNSHIP,LITTLE BRITAIN TOWNSHIP,5600.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,380,
36,430,FULTON TOWNSHIP,FULTON TOWNSHIP,4800.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,280,
37,431,CAENARVON TOWNSHIP,CAERNARVON TOWNSHIP,3100.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,50,
38,432,HOLTWOOD,MARTIC TOWNSHIP,5901.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,430,
39,433,CLAY TOWNSHIP - NORTH,CLAY TOWNSHIP,3201.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,70,
40,434,ELIZABETH TOWNSHIP,ELIZABETH TOWNSHIP,4600.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,240,
41,435,PENRYN,PENN TOWNSHIP,6203.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,500,
42,436,SCHONECK,WEST COCALICO TOWNSHIP,3402.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,90,
43,437,LEACOCK TOWNSHIP,LEACOCK TOWNSHIP,5400.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,350,
