OBJECTID_1,TotalPop,PctMen,PctWomen,MedAge,MedAgeMen,MedAgeWomen,PctWhite,PctBlack,PctNative,PctAsian,PctPacIsl,PctOther,PctTwoPlus,PctForeignBorn,PctLatino,MedHHincome,PctPoverty,PctEmployed,PctHS,PctAss,PctBac,PctMas,PctProf,PctDoc,Count_,Sum_Krasner,Sum_Khan,Sum_Untermeyer,Sum_El_Shabazz,Sum_Negrin,Sum_Deni,Sum_O_Neill,Sum_Write_In,Sum_Total,Pct_Krasner,Pct_Khan,Pct_Untermeyer,Pct_El_Shabazz,Pct_Negrin,Pct_Deni,Pct_ONeill,Pct_Write_In
1,1692,0.539600000000000,0.460400000000000,29.600000000000001,30.500000000000000,27.199999999999999,0.800827423000000,0.106382979000000,0,0,0,0.037825059000000,0,0.117000000000000,0.049100000000000,81620,0.168400000000000,0.672000000000000,0.041500000000000,0.019000000000000,0.352800000000000,0.337500000000000,0.105000000000000,0.074300000000000,1,112,74,8,1,23,0,4,0,222,50.450450450450447,33.333333333333329,3.603603603603604,0.450450450450450,10.360360360360360,0.000000000000000,1.801801801801802,0.000000000000000
2,5385,0.458700000000000,0.541300000000000,42.600000000000001,44.500000000000000,39.500000000000000,0.802785515000000,0.138532962000000,0,0,0,0.000000000000000,0,0.149700000000000,0.041800000000000,46183,0.122400000000000,0.517700000000000,0.334300000000000,0.069100000000000,0.178700000000000,0.096300000000000,0.013700000000000,0.009700000000000,4,58,49,36,8,79,6,55,0,291,19.931271477663230,16.838487972508592,12.371134020618557,2.749140893470790,27.147766323024054,2.061855670103093,18.900343642611684,0.000000000000000
3,4061,0.521800000000000,0.478200000000000,35.100000000000001,29.000000000000000,40.700000000000003,0.299926127000000,0.384880571000000,0,0,0,0.176065009000000,0,0.204100000000000,0.381400000000000,45162,0.205700000000000,0.431400000000000,0.286500000000000,0.077600000000000,0.054100000000000,0.038600000000000,0.000000000000000,0.003400000000000,3,54,35,14,30,28,4,16,0,181,29.834254143646412,19.337016574585636,7.734806629834254,16.574585635359114,15.469613259668508,2.209944751381215,8.839779005524861,0.000000000000000
4,479,0.225500000000000,0.774500000000000,78.200000000000003,45.700000000000003,82.299999999999997,0.799582463000000,0.187891441000000,0,0,0,0.000000000000000,0,0.008400000000000,0.000000000000000,96667,0.095500000000000,0.194200000000000,0.488600000000000,0.022700000000000,0.081800000000000,0.081800000000000,0.000000000000000,0.000000000000000,6,52,54,45,12,114,9,81,0,367,14.168937329700274,14.713896457765669,12.261580381471390,3.269754768392370,31.062670299727518,2.452316076294278,22.070844686648503,0.000000000000000
5,4270,0.466000000000000,0.534000000000000,39.700000000000003,32.899999999999999,41.700000000000003,0.006791569000000,0.974707260000000,0,0,0,0.000000000000000,0,0.080600000000000,0.000000000000000,38603,0.182400000000000,0.406100000000000,0.361200000000000,0.111500000000000,0.107500000000000,0.075600000000000,0.000000000000000,0.002200000000000,5,468,93,36,111,37,3,3,0,751,62.316910785619172,12.383488681757656,4.793608521970706,14.780292942743008,4.926764314247670,0.399467376830892,0.399467376830892,0.000000000000000
6,2598,0.435300000000000,0.564700000000000,43.299999999999997,38.399999999999999,48.200000000000003,0.051578137000000,0.936874519000000,0,0,0,0.000000000000000,0,0.018100000000000,0.075400000000000,29153,0.304800000000000,0.336400000000000,0.285600000000000,0.109500000000000,0.104300000000000,0.010800000000000,0.000000000000000,0.000000000000000,5,176,71,33,127,39,5,4,0,455,38.681318681318686,15.604395604395604,7.252747252747254,27.912087912087912,8.571428571428571,1.098901098901099,0.879120879120879,0.000000000000000
7,2708,0.489700000000000,0.510300000000000,36.700000000000003,38.200000000000003,33.799999999999997,0.881462334000000,0.029911374000000,0,0,0,0.009601182000000,0,0.099300000000000,0.074200000000000,60313,0.093500000000000,0.508500000000000,0.386100000000000,0.057700000000000,0.133600000000000,0.055400000000000,0.023400000000000,0.002300000000000,4,14,24,20,1,35,1,33,0,128,10.937500000000000,18.750000000000000,15.625000000000000,0.781250000000000,27.343750000000000,0.781250000000000,25.781250000000000,0.000000000000000
8,2331,0.534500000000000,0.465500000000000,32.500000000000000,32.299999999999997,32.600000000000001,0.390819391000000,0.060489060000000,0,1,0,0.009009009000000,0,0.345300000000000,0.015400000000000,59891,0.261200000000000,0.580900000000000,0.150500000000000,0.020100000000000,0.298900000000000,0.174900000000000,0.047700000000000,0.021200000000000,2,93,65,3,2,34,3,3,0,203,45.812807881773395,32.019704433497537,1.477832512315271,0.985221674876847,16.748768472906402,1.477832512315271,1.477832512315271,0.000000000000000
9,3405,0.502500000000000,0.497500000000000,32.600000000000001,31.500000000000000,34.799999999999997,0.795888399000000,0.052569750000000,0,0,0,0.008516887000000,0,0.166500000000000,0.087500000000000,81950,0.097000000000000,0.622300000000000,0.094100000000000,0.023600000000000,0.312000000000000,0.239200000000000,0.160100000000000,0.084000000000000,4,283,242,55,13,109,10,9,0,721,39.251040221914010,33.564493758668519,7.628294036061026,1.803051317614424,15.117891816920942,1.386962552011096,1.248266296809986,0.000000000000000
10,3608,0.453700000000000,0.546300000000000,32.000000000000000,32.200000000000003,31.800000000000001,0.777993348000000,0.100055432000000,0,0,0,0.007483370000000,0,0.158000000000000,0.051000000000000,92207,0.120300000000000,0.778800000000000,0.072600000000000,0.031600000000000,0.502900000000000,0.179500000000000,0.078800000000000,0.044500000000000,2,173,127,14,7,60,6,3,0,390,44.358974358974358,32.564102564102562,3.589743589743589,1.794871794871795,15.384615384615385,1.538461538461539,0.769230769230769,0.000000000000000
